crate_name,version,result
io-lifetimes,,success
ipconfig,,success
ipnet,,success
ipnetwork,,success
is-terminal,,success
is_terminal_polyfill,,success
itertools,,success
itoa,,success
jni,,success
jni-sys,,failure
jobserver,,success
jpeg-decoder,,success
json-patch,,success
json5,,failure
jsonpath-rust,,failure
jsonrpsee-client-transport,,failure
jsonwebtoken,,success
k256,,failure
k8s-openapi,,failure
kernel32-sys,,success
kv-log-macro,,success
lalrpop,,failure
language-tags,,success
lazycell,,success
leb128,,success
lexical-parse-float,,success
lexical-parse-integer,,success
lexical-util,,success
lexical-write-float,,success
libc,,failure
libgit2-sys,,failure
libloading,,failure
libm,,failure
librocksdb-sys,,failure
libsqlite3-sys,,failure
libssh2-sys,,failure
libz-sys,,failure
link-cplusplus,,success
linked-hash-map,,success
linked_hash_set,,success
litemap,,failure
local-channel,,success
local-waker,,success
log,,success
logos-derive,,success
lru,,success
lru-cache,,success
lz4_flex,,success
lzma-sys,,failure
mac,,success
mach,,failure
maplit,,success
match_cfg,,success
matchers,,success
matches,,failure
matchit,,success
maybe-uninit,,success
md-5,,failure
md5,,success
memchr,,success
memmap2,,success
memoffset,,success
metrics-util,,failure
miette,,success
miette-derive,,success
mime,,success
minimal-lexical,,success
mio,,success
mockall,,success
mockall_derive,,success
moka,,failure
multihash,,success
multimap,,success
nalgebra,,success
nanorand,,failure
native-tls,,failure
ndarray,,success
net2,,failure
new_debug_unreachable,,success
nibble_vec,,success
nodrop,,success
nohash-hasher,,success
nom,,success
nonzero_ext,,success
normalize-line-endings,,success
notify,,failure
ntapi,,success
num,,success
num-bigint,,success
num-bigint-dig,,success
num-complex,,success
num-derive,,success
num-format,,success
num-integer,,success
num-iter,,success
num-rational,,success
num-traits,,success
num_cpus,,success
num_enum,,success
num_enum_derive,,success
num_threads,,failure
number_prefix,,success
object,,success
oid-registry,,success
opaque-debug,,failure
openssl,,success
openssl-probe,,success
openssl-src,,success
openssl-sys,,failure
opentelemetry_api,,failure
option-ext,,success
ordered-float,,success
ordered-multimap,,success
os_info,,success
os_pipe,,success
os_str_bytes,,success
ouroboros_macro,,success
owo-colors,,success
p256,,failure
parity-scale-codec,,success
parking,,success
parking_lot,,success
parking_lot_core,,success
parse-zoneinfo,,failure
password-hash,,failure
paste,,success
path-dedot,,success
pathdiff,,success
pbkdf2,,failure
peeking_take_while,,success
pem-rfc7468,,failure
percent-encoding,,success
pest,,failure
pest_derive,,failure
pest_generator,,failure
pest_meta,,failure
phf,,success
phf_codegen,,success
phf_shared,,success
